provider_name,type_of_care,address,city,state,zip,phone
La Rue Park Child Development Center,Child Care Center,50 Atrium Way,Davis,CA,95616,(530) 753-8716
Carousel Preschool,Child Care Center,8328 Airport Blvd.,Los Angeles,CA,90045,(310) 216-6641
Adventure Club - Quail Glen,Child Care Center,1250 Canevari Dr,Roseville,CA,95747,(916) 772-7529
Adventure Club - Coyote Ridge,Child Care Center,1751 Morningstar Dr,Roseville,CA,95747,(916) 772-7271
Azusa Discovery Center,Child Care Center,155 W. Arrow Highway,Azusa,CA,91702,(626) 334-1806
Light of Christ Children's Center,Child Care Center,336 South Kalmia Street,Escondido,CA,92025,(760) 745-6849
Little Peoples Corner Preschool/daycare,Child Care Center,3844 Walnut Drive #c,Eureka,CA,95503,(707) 445-0339
Kindercare Learning Center LLC,Child Care Center,5448 San Juan Ave,Citrus Heights,CA,95610,(916) 961-5599
Olive Knolls Christian School,Child Care Center,6201 Fruitvale Ave.,Bakersfield,CA,93308,(661) 393-3566
Peace Lutheran Early Childhood Education Center,Child Care Center,928 San Juan Rd,Sacramento,CA,95834,(916) 927-4060
Kids on Campus,Child Care Center,6889 El Fuerte Street,Carlsbad,CA,92009,(760) 744-4776
West Redding Preschool,Child Care Center,3493 Placer Street,Redding,CA,96001,(530) 243-2225
Kiddie Academy Child Care Learning Center,Child Care Center,3766 Mission Ave. Suite # 110,Oceanside,CA,92058,(760) 439-5552
KinderCare Learning Center LLC,Child Care Center,2417 S Centre City Pkwy,Escondido,CA,92025,(760) 745-2474
Action Day Learning Center,Child Care Center,400 Stafford Street,Folsom,CA,95630,(916) 985-0976
Childtime Children's Center,Child Care Center,9903 Camino Media,Bakersfield,CA,93311,(661) 665-7790
La Quinta Preschool,Child Care Center,49-955 Moon River Dr,La Quinta,CA,92253,(760) 564-2848
Heather Ridge Child Care Center,Child Care Center,820 St Marks Street,Redding,CA,96003,(530) 241-7226
Childtime Children's Center,Child Care Center,2320 Floyd Ave.,Modesto,CA,95355,(209) 551-0255
Adventure Club - Heritage Oak Elem. Sch.,Child Care Center,2271 Americana Way,Roseville,CA,95747,(916) 773-3959
KinderCare Learning Center,Child Care Center,917 Hampshire Rd,Westlake Village,CA,91361,(805) 494-5152
Girls Inc. Of Greater North Santa Barbara,Child Care Center,4973 Hollister Ave,Goleta,CA,93110,(805) 967-0319
KinderCare Education LLC,Child Care Center,11962 Perris Blvd,Moreno Valley,CA,92557,(951) 243-6558
