La Rue Park Child Development Center,Child Care Center,50 Atrium Way,Davis,CA,95616,5307538716
Carousel Preschool,Child Care Center,8328 Airport Blvd.,Los Angeles,CA,90045,3102166641
Adventure Club - Quail Glen,Child Care Center,1250 Canevari Dr,Roseville,CA,95747,9167727529
Adventure Club - Coyote Ridge,Child Care Center,1751 Morningstar Dr,Roseville,CA,95747,9167727271
Azusa Discovery Center,Child Care Center,155 W. Arrow Highway,Azusa,CA,91702,6263341806
Light of Christ Children's Center,Child Care Center,336 South Kalmia Street,Escondido,CA,92025,7607456849
Little Peoples Corner Preschool/daycare,Child Care Center,3844 Walnut Drive #c,Eureka,CA,95503,7074450339
Kindercare Learning Center LLC,Child Care Center,5448 San Juan Ave,Citrus Heights,CA,95610,9169615599
Olive Knolls Christian School,Child Care Center,6201 Fruitvale Ave.,Bakersfield,CA,93308,6613933566
Peace Lutheran Early Childhood Education Center,Child Care Center,928 San Juan Rd,Sacramento,CA,95834,9169274060
Kids on Campus,Child Care Center,6889 El Fuerte Street,Carlsbad,CA,92009,7607444776
West Redding Preschool,Child Care Center,3493 Placer Street,Redding,CA,96001,5302432225
Kiddie Academy Child Care Learning Center,Child Care Center,3766 Mission Ave. Suite # 110,Oceanside,CA,92058,7604395552
KinderCare Learning Center LLC,Child Care Center,2417 S Centre City Pkwy,Escondido,CA,92025,7607452474
Action Day Learning Center,Child Care Center,400 Stafford Street,Folsom,CA,95630,9169850976
Childtime Children's Center,Child Care Center,9903 Camino Media,Bakersfield,CA,93311,6616657790
La Quinta Preschool,Child Care Center,49-955 Moon River Dr,La Quinta,CA,92253,7605642848
Heather Ridge Child Care Center,Child Care Center,820 St Marks Street,Redding,CA,96003,5302417226
Childtime Children's Center,Child Care Center,2320 Floyd Ave.,Modesto,CA,95355,2095510255
Adventure Club - Heritage Oak Elem. Sch.,Child Care Center,2271 Americana Way,Roseville,CA,95747,9167733959
KinderCare Learning Center,Child Care Center,917 Hampshire Rd,Westlake Village,CA,91361,8054945152
Girls Inc. Of Greater North Santa Barbara,Child Care Center,4973 Hollister Ave,Goleta,CA,93110,8059670319
KinderCare Education LLC,Child Care Center,11962 Perris Blvd,Moreno Valley,CA,92557,9512436558
Treehouse Christian Preschool 2,Child Care Center,3301 Coffee Rd.,Modesto,CA,95355,2093129449
Sefi Day School,Child Care Center,380 Telegraph Canyon Rd.,Chula Vista,CA,91910,6194227115
